total_score	I_sc	description
-770.917	-9.339	complex_global_dock_08699
-769.996	-6.969	complex_global_dock_09623
-770.116	-6.845	complex_global_dock_03452
-770.380	-6.729	complex_global_dock_04624
-768.857	-6.513	complex_global_dock_08203
-770.822	-6.509	complex_global_dock_09406
-770.058	-6.508	complex_global_dock_08898
-770.958	-6.468	complex_global_dock_04778
-769.763	-6.229	complex_global_dock_03320
-767.717	-6.132	complex_global_dock_02822
-768.899	-6.128	complex_global_dock_01498
-769.340	-6.118	complex_global_dock_07646
-770.509	-6.073	complex_global_dock_07037
-768.644	-5.961	complex_global_dock_03359
-769.603	-5.955	complex_global_dock_02013
-769.860	-5.918	complex_global_dock_06272
-766.736	-5.908	complex_global_dock_07975
-768.553	-5.825	complex_global_dock_03862
-768.487	-5.749	complex_global_dock_04026
-769.458	-5.651	complex_global_dock_08553
-768.369	-5.613	complex_global_dock_09017
-768.210	-5.607	complex_global_dock_03688
-769.504	-5.607	complex_global_dock_02058
-768.586	-5.552	complex_global_dock_00437
-769.695	-5.549	complex_global_dock_03971
-769.451	-5.506	complex_global_dock_04447
-769.718	-5.453	complex_global_dock_03530
-769.751	-5.446	complex_global_dock_03609
-770.057	-5.446	complex_global_dock_04193
-768.717	-5.445	complex_global_dock_09792
-769.955	-5.441	complex_global_dock_07309
-768.509	-5.438	complex_global_dock_08347
-764.982	-5.430	complex_global_dock_01906
-769.416	-5.421	complex_global_dock_07739
-769.486	-5.407	complex_global_dock_00183
-769.961	-5.387	complex_global_dock_03909
-769.214	-5.369	complex_global_dock_06358
-769.185	-5.332	complex_global_dock_08143
-769.133	-5.323	complex_global_dock_09674
-769.394	-5.316	complex_global_dock_08672
-769.274	-5.315	complex_global_dock_04804
-769.835	-5.300	complex_global_dock_09312
-769.260	-5.297	complex_global_dock_09745
-768.159	-5.261	complex_global_dock_07402
-768.652	-5.244	complex_global_dock_00455
-768.453	-5.240	complex_global_dock_02470
-768.841	-5.227	complex_global_dock_09903
-768.734	-5.225	complex_global_dock_07027
-769.382	-5.220	complex_global_dock_04806
-767.385	-5.218	complex_global_dock_07344
-769.436	-5.214	complex_global_dock_00188
-769.310	-5.207	complex_global_dock_01279
-769.299	-5.205	complex_global_dock_08411
-768.638	-5.192	complex_global_dock_08723
-769.096	-5.183	complex_global_dock_09966
-769.639	-5.166	complex_global_dock_07832
-768.884	-5.155	complex_global_dock_05018
-769.195	-5.138	complex_global_dock_02538
-768.974	-5.136	complex_global_dock_05870
-769.314	-5.128	complex_global_dock_09852
-767.928	-5.122	complex_global_dock_06184
-769.397	-5.121	complex_global_dock_02765
-769.099	-5.120	complex_global_dock_08615
-769.012	-5.112	complex_global_dock_05977
-769.561	-5.104	complex_global_dock_01425
-769.230	-5.102	complex_global_dock_02528
-768.035	-5.081	complex_global_dock_04195
-768.464	-5.073	complex_global_dock_06576
-769.576	-5.070	complex_global_dock_09607
-768.588	-5.063	complex_global_dock_03705
-768.807	-5.057	complex_global_dock_06055
-769.538	-5.056	complex_global_dock_07085
-768.564	-5.049	complex_global_dock_09375
-768.638	-5.028	complex_global_dock_09471
-768.550	-5.023	complex_global_dock_08750
-769.166	-5.019	complex_global_dock_09414
-769.315	-5.018	complex_global_dock_00050
-768.882	-5.017	complex_global_dock_01226
-768.298	-5.016	complex_global_dock_06333
-768.436	-5.010	complex_global_dock_02989
-769.619	-5.009	complex_global_dock_09112
-769.086	-5.005	complex_global_dock_08902
-768.820	-4.999	complex_global_dock_08833
-768.943	-4.999	complex_global_dock_04692
-769.253	-4.999	complex_global_dock_05529
-768.587	-4.994	complex_global_dock_01373
-768.006	-4.990	complex_global_dock_03892
-769.178	-4.989	complex_global_dock_00019
-767.728	-4.987	complex_global_dock_00940
-769.415	-4.986	complex_global_dock_00723
-768.003	-4.981	complex_global_dock_03946
-768.039	-4.981	complex_global_dock_07183
-768.246	-4.960	complex_global_dock_08356
-768.216	-4.953	complex_global_dock_02513
-768.436	-4.953	complex_global_dock_02471
-768.599	-4.948	complex_global_dock_06373
-768.307	-4.947	complex_global_dock_02431
-767.544	-4.939	complex_global_dock_09946
-768.210	-4.936	complex_global_dock_00353
-768.816	-4.932	complex_global_dock_01881
-768.314	-4.923	complex_global_dock_06614
-767.380	-4.922	complex_global_dock_07580
-768.697	-4.918	complex_global_dock_02318
-769.676	-4.918	complex_global_dock_03710
-768.625	-4.915	complex_global_dock_00064
-764.280	-4.908	complex_global_dock_02023
-767.874	-4.908	complex_global_dock_04037
-768.083	-4.908	complex_global_dock_03268
-769.431	-4.904	complex_global_dock_00989
-768.196	-4.884	complex_global_dock_07748
-768.884	-4.881	complex_global_dock_09991
-768.357	-4.872	complex_global_dock_09004
-768.833	-4.864	complex_global_dock_06606
-769.105	-4.862	complex_global_dock_01939
-769.051	-4.858	complex_global_dock_04034
-769.468	-4.858	complex_global_dock_06330
-769.310	-4.855	complex_global_dock_01483
-769.391	-4.851	complex_global_dock_03106
-768.761	-4.848	complex_global_dock_03600
-769.433	-4.847	complex_global_dock_01258
-767.959	-4.845	complex_global_dock_04050
-768.399	-4.842	complex_global_dock_08218
-770.073	-4.838	complex_global_dock_00214
-768.900	-4.831	complex_global_dock_00762
-769.272	-4.831	complex_global_dock_02668
-768.599	-4.830	complex_global_dock_07390
-767.275	-4.828	complex_global_dock_04351
-768.670	-4.825	complex_global_dock_03225
-767.641	-4.821	complex_global_dock_02485
-765.748	-4.819	complex_global_dock_08650
-767.199	-4.819	complex_global_dock_09221
-768.773	-4.819	complex_global_dock_08838
-768.830	-4.819	complex_global_dock_08549
-768.695	-4.818	complex_global_dock_06786
-769.133	-4.814	complex_global_dock_03591
-769.125	-4.813	complex_global_dock_03651
-766.321	-4.809	complex_global_dock_02506
-768.759	-4.809	complex_global_dock_09254
-767.351	-4.803	complex_global_dock_02900
-768.688	-4.801	complex_global_dock_05141
-768.162	-4.796	complex_global_dock_04957
-768.868	-4.786	complex_global_dock_03759
-769.037	-4.785	complex_global_dock_01874
-768.548	-4.782	complex_global_dock_08339
-768.833	-4.782	complex_global_dock_02365
-767.014	-4.774	complex_global_dock_03237
-768.961	-4.774	complex_global_dock_02241
-768.315	-4.773	complex_global_dock_01931
-768.673	-4.773	complex_global_dock_08061
-767.728	-4.770	complex_global_dock_04668
-768.954	-4.767	complex_global_dock_01241
-769.064	-4.762	complex_global_dock_00206
-768.353	-4.758	complex_global_dock_07070
-768.495	-4.758	complex_global_dock_03540
-767.597	-4.757	complex_global_dock_01311
-769.738	-4.753	complex_global_dock_06300
-768.334	-4.742	complex_global_dock_01204
-768.654	-4.742	complex_global_dock_00963
-769.496	-4.735	complex_global_dock_08637
-768.411	-4.733	complex_global_dock_09247
-768.508	-4.720	complex_global_dock_05468
-768.562	-4.719	complex_global_dock_01043
-769.119	-4.719	complex_global_dock_09135
-768.990	-4.713	complex_global_dock_08569
-769.237	-4.704	complex_global_dock_07166
-769.609	-4.704	complex_global_dock_01548
-768.425	-4.703	complex_global_dock_02687
-768.377	-4.701	complex_global_dock_01182
-769.110	-4.699	complex_global_dock_04121
-768.805	-4.694	complex_global_dock_01810
-768.937	-4.693	complex_global_dock_08341
-767.715	-4.692	complex_global_dock_00624
-768.080	-4.692	complex_global_dock_00806
-768.151	-4.690	complex_global_dock_02616
-768.067	-4.685	complex_global_dock_09807
-769.284	-4.684	complex_global_dock_09907
-768.444	-4.683	complex_global_dock_06131
-766.421	-4.681	complex_global_dock_04210
-768.640	-4.681	complex_global_dock_01861
-768.310	-4.679	complex_global_dock_04779
-767.832	-4.678	complex_global_dock_00507
-768.505	-4.678	complex_global_dock_08278
-767.910	-4.671	complex_global_dock_01804
-768.941	-4.670	complex_global_dock_05223
-768.378	-4.668	complex_global_dock_02454
-769.009	-4.668	complex_global_dock_02898
-769.570	-4.667	complex_global_dock_07466
-768.274	-4.663	complex_global_dock_04986
-765.050	-4.661	complex_global_dock_01099
-768.480	-4.661	complex_global_dock_09864
-769.573	-4.656	complex_global_dock_01187
-768.894	-4.647	complex_global_dock_04658
-769.296	-4.646	complex_global_dock_04567
-768.311	-4.645	complex_global_dock_06619
-768.283	-4.644	complex_global_dock_07614
-768.514	-4.644	complex_global_dock_06284
-768.688	-4.640	complex_global_dock_07701
-769.152	-4.637	complex_global_dock_04538
-766.781	-4.635	complex_global_dock_05947
-767.867	-4.635	complex_global_dock_00757
-768.653	-4.635	complex_global_dock_00144
-768.424	-4.633	complex_global_dock_02100
-769.125	-4.633	complex_global_dock_02631
-768.693	-4.622	complex_global_dock_04907
-768.021	-4.617	complex_global_dock_01565
-768.400	-4.615	complex_global_dock_06672
